INFO 	 2018-03-23 06:23:29,330 	 stat_list 	 files/stat.gov.kz/legal_entity/23.03.18/zip/75 was downloaded
INFO 	 2018-03-23 07:30:35,448 	 stat_list 	 files/stat.gov.kz/legal_entity/23.03.18/csv/legal_entity.csv was copied to /tmp/ folder
INFO 	 2018-03-23 07:30:35,823 	 stat_list 	 files/stat.gov.kz/legal_entity/23.03.18/csv/legal_branche.csv was copied to /tmp/ folder
INFO 	 2018-03-24 08:07:49,973 	 stat_list 	 files/stat.gov.kz/legal_entity/24.03.18/csv/legal_entity.csv was copied to /tmp/ folder
INFO 	 2018-03-24 08:07:49,992 	 stat_list 	 files/stat.gov.kz/legal_entity/24.03.18/csv/legal_branche.csv was copied to /tmp/ folder
ERROR 	 2018-03-24 08:07:50,004 	 stat_list 	 import to db error: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 1")
INFO 	 2018-03-24 08:09:18,844 	 stat_list 	 files/stat.gov.kz/legal_entity/24.03.18/csv/legal_entity.csv was copied to /tmp/ folder
INFO 	 2018-03-24 08:09:18,844 	 stat_list 	 files/stat.gov.kz/legal_entity/24.03.18/csv/legal_branche.csv was copied to /tmp/ folder
INFO 	 2018-03-24 08:09:49,090 	 stat_list 	 files/stat.gov.kz/legal_entity/24.03.18/csv/legal_entity.csv was copied to /tmp/ folder
INFO 	 2018-03-24 08:09:49,090 	 stat_list 	 files/stat.gov.kz/legal_entity/24.03.18/csv/legal_branche.csv was copied to /tmp/ folder
INFO 	 2018-03-24 08:14:23,604 	 stat_list 	 files/stat.gov.kz/legal_entity/24.03.18/csv/legal_entity.csv was copied to /tmp/ folder
INFO 	 2018-03-24 08:14:23,604 	 stat_list 	 files/stat.gov.kz/legal_entity/24.03.18/csv/legal_branche.csv was copied to /tmp/ folder
INFO 	 2018-03-24 08:15:02,586 	 stat_list 	 files/stat.gov.kz/legal_entity/24.03.18/csv/legal_entity.csv was copied to /tmp/ folder
INFO 	 2018-03-24 08:15:02,587 	 stat_list 	 files/stat.gov.kz/legal_entity/24.03.18/csv/legal_branche.csv was copied to /tmp/ folder
INFO 	 2018-03-24 08:17:56,161 	 stat_list 	 files/stat.gov.kz/legal_entity/24.03.18/csv/legal_entity.csv was copied to /tmp/ folder
INFO 	 2018-03-24 08:17:56,162 	 stat_list 	 files/stat.gov.kz/legal_entity/24.03.18/csv/legal_branche.csv was copied to /tmp/ folder
INFO 	 2018-03-24 08:23:10,180 	 stat_list 	 files/stat.gov.kz/legal_entity/24.03.18/csv/legal_entity.csv was copied to /tmp/ folder
INFO 	 2018-03-24 08:23:10,181 	 stat_list 	 files/stat.gov.kz/legal_entity/24.03.18/csv/legal_branche.csv was copied to /tmp/ folder
INFO 	 2018-03-24 08:44:43,193 	 stat_list 	 files/stat.gov.kz/legal_entity/24.03.18/csv/legal_entity.csv was copied to /tmp/ folder
INFO 	 2018-03-24 08:44:43,194 	 stat_list 	 files/stat.gov.kz/legal_entity/24.03.18/csv/legal_branche.csv was copied to /tmp/ folder
INFO 	 2018-03-24 08:45:47,726 	 stat_list 	 files/stat.gov.kz/legal_entity/24.03.18/csv/legal_entity.csv was copied to /tmp/ folder
INFO 	 2018-03-24 08:45:47,727 	 stat_list 	 files/stat.gov.kz/legal_entity/24.03.18/csv/legal_branche.csv was copied to /tmp/ folder
INFO 	 2018-03-24 08:47:10,941 	 stat_list 	 files/stat.gov.kz/legal_entity/24.03.18/zip/11 was downloaded
INFO 	 2018-03-24 08:48:12,326 	 stat_list 	 files/stat.gov.kz/legal_entity/24.03.18/zip/15 was downloaded
INFO 	 2018-03-24 08:48:43,944 	 stat_list 	 files/stat.gov.kz/legal_entity/24.03.18/zip/19 was downloaded
INFO 	 2018-03-24 08:49:22,831 	 stat_list 	 files/stat.gov.kz/legal_entity/24.03.18/zip/23 was downloaded
INFO 	 2018-03-24 08:49:43,539 	 stat_list 	 files/stat.gov.kz/legal_entity/24.03.18/zip/27 was downloaded
INFO 	 2018-03-24 08:49:43,735 	 stat_list 	 files/stat.gov.kz/legal_entity/24.03.18/zip/files/stat.gov.kz/legal_entity/24.03.18/zip/27 was downloaded
